"name","age","latitude","longitude","monthlyIncome","experienced"
"Ulberto",86,-24.8705652,25.8640062,15049,1
"Olive",24,-27.633736,-55.497642,12117,1
"Terence",95,3.6489578,18.6353764,6499,0
"Mag",24,-8.669071,115.213781,7129,1
"Gwenneth",27,27.894504,102.264449,6549,1
"Sebastien",94,14.731859,121.698077,19342,1
"Waylon",44,33.4996213,126.5311884,11319,1
"Mattie",79,45.9067495,-72.5406445,12190,0
"Andie",32,50.5032152,14.2856356,19188,0
"Mikel",79,9.4344715,-13.0904353,14721,1
"Sergeant",36,46.2657181,-81.771057,14914,1
"Brunhilda",27,58.5563017,15.0091903,7522,0
"Cecilla",73,43.553302,6.574529,17618,1
"Leandra",90,-10.02569,123.729698,15414,0
"Norma",56,11.2755407,49.1878994,6908,0
"Fredia",77,1.5589383,110.346648,19458,0
"Myrta",44,0.3353678,32.6673018,12160,1
"Oralee",21,49.8683919,1.1433823,7996,0
"Brodie",73,45.5824038,19.0552361,17703,1
"Angy",87,59.3429221,18.0922798,13296,1
"Katlin",60,10.1671173,123.6152351,7073,1
"Lyndsay",25,-1.783333,119.466667,7321,1
"Aloysia",55,56.81,40.51,17313,0
"Holden",61,16.5361315,101.6612934,11882,0
"Donaugh",91,29.8812968,111.4535119,9200,0
"Sibley",71,47.837001,28.4339797,9705,1
"Phil",70,51.6711341,20.1795118,19869,1
"Eberto",93,-12.5183628,-39.0085346,14878,0
"Mendy",71,52.7374731,19.9917009,14957,0
"Minnie",76,29.461194,110.152436,10946,1
"Grayce",30,21.0130648,-101.8542461,17354,1
"Cesar",42,42.079279,-8.4835185,6048,0
"Ebonee",19,-9.755588,-36.6639577,8887,0
"Hyman",65,41.2169163,-8.6759571,11832,0
"Belva",53,18.0736829,-76.7942403,10078,0
"Arlina",51,14.9024411,120.8537936,3746,1
"Doe",79,35.0801925,-2.9475662,6663,1
"Debora",32,52.0404797,76.9262526,19779,0
"Tull",33,45.683569,129.745739,9938,1
"Kipp",49,-8.1221236,112.0640052,4230,1
"Lewie",57,14.347522,120.9245309,5256,0
"Edee",75,41.3620123,-8.2829824,8287,0
"Angelika",78,37.1428788,46.1042711,12146,0
"Bertina",27,40.2343129,44.2868976,18709,1
"Galen",48,-6.728,111.049,9327,0
"Alfonse",68,-10.1551293,123.8355465,17665,1
"Rozalie",38,52.6630895,38.4290322,7932,1
"Rod",67,35.5588061,138.0410863,4411,0
"Brynne",69,40.83,21.581667,14009,0
"Thaxter",100,6.9185192,79.9390794,6791,1
"Brittney",87,61.7575929,31.0233095,10671,0
"Maegan",48,21.918203,110.853299,4547,1
"Nate",95,54.80639,35.92778,18295,1
"Justus",50,-20.3707241,57.6063694,16273,1
"Celeste",80,23.082498,113.518911,15256,0
"Tomas",53,41.027698,26.2935333,10532,1
"Gilburt",18,40.2706832,45.135943,7640,0
"Abdul",65,14.5806413,121.0036417,15376,0
"Daryl",33,25.0248314,121.7408654,18988,0
"Rebekkah",56,43.4945737,5.8978018,9073,1
"Natasha",34,35.4208388,136.6048742,17666,1
"Joanne",77,-6.2318126,106.8396166,17725,0
"Scarlet",48,-8.50246,119.03867,18322,0
"Colman",33,56.4477313,13.6156546,18356,0
"Hamish",86,52.2348348,104.2973676,8628,0
"Margarette",72,44.8245862,19.771335,8035,1
"Dunc",29,38.042805,114.514893,9390,1
"Fiona",54,59.3754793,16.4764129,17483,0
"Garrott",49,13.2268,123.6148,7920,1
"Devondra",61,7.5433333,149.4122222,17439,1
"Rinaldo",49,1.4403744,125.1216524,14814,1
"Augusto",43,31.2393596,-8.3143192,8046,1
"Willabella",77,-1.7864953,37.6311071,12529,1
"Victoria",88,37.6854422,48.3412639,13705,0
"Eadith",69,-8.1574988,114.3014572,14557,1
"Lilian",67,41.4655177,-8.577596,9241,1
"Simonette",85,11.5012022,122.3115616,10824,1
"Rozamond",64,52.2680883,22.5839609,19152,1
"Lyndell",25,39.9658255,-0.0419877,12694,1
"Joe",51,-3.966667,-80.8833329,19338,1
"Carling",78,52.9718428,63.1128326,7695,1
"Venus",27,31.207751,121.293544,9079,1
"Augustina",70,-7.324188,110.509841,9523,0
"Tommy",88,2.7388719,23.7811324,16613,0
"Brett",43,48.9003986,2.2166408,7126,1
"Andy",40,51.1488512,19.327898,19537,1
"Hedvige",81,-6.1955905,107.5534739,12557,1
"Ferris",89,-23.277052,-51.2803152,6683,0
"Janina",97,15.4097396,104.9201205,13328,0
"Dotti",98,32.7324624,36.0621579,16885,1
"Aloin",47,37.1597899,-8.0359507,6305,0
"Desirae",51,-0.5388381,37.4596409,11688,0
"Zenia",77,33.685735,-5.3677844,14804,1
"Rickey",79,58.6772898,52.190142,17374,1
"Anny",50,22.3363608,103.8437852,9126,0
"Nesta",52,34.26545,67.34516,19529,1
"Loria",34,6.926774,124.4974442,12763,1
"Aristotle",49,14.1864516,-16.6586052,16871,0
"Hans",71,28.970079,118.859457,18014,1
"Benedetto",18,37.2610694,67.3086236,13685,1
"Beck",95,40.7084699,72.8781322,7511,1
"Morna",58,41.6613587,-91.4918235,4280,0
"Marven",68,40.7346601,-8.3694671,16839,1
"Kenneth",87,52.4977237,20.5022109,7667,0
"Roselia",78,59.3796798,28.1791333,7068,0
"Corabella",60,4.6785657,-74.0466166,8717,1
"Dita",29,59.25863,18.0094438,5878,1
"Rosmunda",19,52.1412597,20.8418962,13631,0
"Angie",28,50.7542407,18.608683,6187,1
"Philly",74,45.3727904,40.829856,11009,1
"Jerrilee",82,37.365238,120.44763,19420,0
"Valentine",29,45.6110839,19.5361203,9862,0
"Raven",72,-8.5734677,116.3653421,13108,0
"Silvie",57,8.2673715,-72.0631118,3915,1
"Katrine",51,33.8759864,133.1626063,7740,1
"Roxy",29,41.0787184,-7.435408,17668,1
"Bradly",36,37.9703906,24.0077427,19331,1
"Toby",58,27.791959,-82.723924,19461,0
"Javier",64,21.2648137,104.6427499,6352,1
"Kalina",35,39.1441,117.158719,8356,0
"Marven",99,59.3536093,17.9299398,10379,0
"Guenna",44,60.1941783,24.93914,17617,0
"Tadeas",54,54.2877219,17.6311856,19406,1
"Dedie",28,38.5904096,-8.9994843,3583,0
"Chrysa",27,38.416663,112.734174,3276,1
"Clerc",59,30.8908344,61.680106,15501,0
"Willi",85,-20.811761,-49.3762272,19960,1
"Casandra",93,56.3121599,22.3459251,9607,1
"Dela",42,43.8558336,18.4098275,9818,1
"Gratiana",27,46.019373,15.4759099,4626,0
"Felizio",100,-37.0343377,174.9217575,17131,0
"Marjory",81,28.579409,110.090436,17674,0
"Jenna",29,44.7696167,19.2935412,19707,1
"Linda",94,39.932447,116.430976,11990,1
"Cece",87,-12.3090253,44.4364706,16657,1
"Kelsey",84,33.9205932,134.4266559,9473,1
"Jobye",92,1.256633,-70.2359058,12269,0
"Olenolin",41,-34.5903044,-58.4985279,12582,0
"Leonore",29,-28.5757953,-70.7571009,7018,1
"Althea",82,39.875265,25.063448,13436,0
"Caron",46,52.7569427,55.8011374,16504,1
"Gianni",95,52.8119141,126.5464162,12035,0
"Aleda",67,43.3572645,16.9520477,8300,1
"Marcellus",73,14,-88.35,19846,0
"Osborne",97,31.029897,105.220236,10834,1
"Konstantine",23,25.5497,111.689821,8530,0
"Tandi",45,6.382615,124.789568,7821,1
"Cchaddie",78,29.117096,110.479191,15144,1
"Farra",95,-1.0387569,37.0833753,15396,1
"Gusti",20,-5.6935288,105.5826123,4484,0
"Randall",98,8.1296031,-81.026991,3665,1
"Kimmie",97,34.149491,-118.099449,9333,0
"Orsola",53,25.6543901,88.9162387,7593,0
"Marlane",61,-28.1999491,-51.5303101,11617,1
"Kip",81,-34.3048508,-58.7739249,9823,0
"Osbert",40,14.5919106,121.0228804,5452,1
"Herrick",83,52.0609041,17.239347,5710,0
"Sallie",100,6.6644629,2.1597595,8631,0
"Michale",52,6.1307505,-75.6033497,12481,0
"Germana",70,33.5507563,-7.4841222,11037,1
"Vivie",72,33.001096,106.91786,16524,1
"Luise",70,31.32847,118.892085,15406,0
"Franciskus",100,43.5634394,6.9658358,15238,1
"Wildon",29,36.813546,118.055019,10736,0
"Karel",33,7.6834821,-72.4909026,18483,1
"Aveline",89,-0.5223759,121.674572,9280,0
"Michail",21,34.4311398,8.7756556,17823,1
"Burch",85,52.5019685,6.0684306,13649,1
"Gavin",47,-7.0251813,111.3202736,7339,1
"Niven",86,-6.7587465,111.6809778,10451,1
"Anstice",47,53.6557845,41.6873842,13156,0
"Fidole",21,30.920727,116.670173,15824,1
"Reade",51,39.3525635,21.7513868,17496,1
"Herta",73,47.3411618,0.723116,6920,0
"Benyamin",64,38.7025085,-9.3381698,12912,0
"Rock",46,5.042569,-75.514771,4616,0
"Johnath",78,44.2551686,135.0572606,12630,1
"Janine",80,37.865759,27.345742,18337,0
"Lani",36,8.0478831,-2.807864,16338,1
"Homere",56,19.4805668,-99.2058279,3857,1
"Ranique",30,41.0640026,25.6858475,17511,0
"Reina",25,61.7242142,50.9507271,15273,1
"Mamie",61,-22.8631923,-43.7779091,14198,0
"Marys",84,-4.1383821,103.9724141,13268,1
"Jacklyn",75,36.7821,117.032171,19521,0
"Olga",93,21.5032386,-104.9078597,9821,0
"Johanna",73,48.8129209,2.2385405,9956,0
"Bette-ann",82,13.5776734,100.6149501,4133,1
"Robbie",80,13.871805,101.052868,14159,0
"Donnamarie",51,14.6052661,121.1206771,5067,0
"Raffarty",33,27.754532,112.723615,14723,0
"Timmie",42,38.0818216,140.0392974,14582,0
"Torrie",70,53.6232372,27.8996001,6092,1
"Arin",73,28.643587,115.568583,8126,0
"Tommy",32,49.1040007,29.2092738,12766,0
"Sibyl",73,43.858616,21.403911,14713,0
"Dame",60,18.1436128,-94.4452233,15297,1
"Mahmud",61,15.9052069,120.8017163,4907,1
"Tessa",37,26.096382,107.454787,9229,1
"Emmery",62,50.1283894,15.9182326,19898,1
"Novelia",31,59.3245933,17.9509504,14532,0
"Barbaraanne",29,-13.68828,-72.019989,18234,0
"Rubetta",53,39.672791,113.732809,4497,0
"Chevy",62,-11.806679,-77.1657716,4151,1
"Tadeo",55,48.465994,-67.4324153,7118,0
"Gabby",64,51.9034509,16.955476,12440,0
"Rosamond",33,14.335889,-89.713497,16132,1
"Rosene",56,13.91581,44.32414,13634,0
"Saul",39,-7.0250344,113.5758261,12341,0
"Aubrette",57,28.47952,107.426841,7333,1
"Mordecai",96,57.8814317,43.8050354,18654,0
"Jareb",31,-34.6891726,-58.4714156,18602,1
"Greggory",35,40.6945206,-7.8725232,9561,0
"Ofella",21,50.84999,-101.71763,15883,1
"Alfie",65,16.7903346,120.8249088,15202,1
"Dionisio",81,-40.864985,172.89648,17876,1
"Ethelind",20,45.7058849,16.0378191,16300,1
"Eugenie",48,40.0725348,44.3051313,4099,1
"Gregor",85,57.14667,33.10753,15776,0
"Ebonee",23,-34.6146409,-58.5056396,17219,1
"Monty",35,10.148976,-73.960233,4701,0
"Adara",53,10.7480929,106.6352362,9747,1
"Sissie",54,35.23251,69.37719,13812,0
"Mozes",61,-3.0029841,115.9467997,16008,0
"Sherwynd",49,26.89023,100.233878,3267,0
"Ronnie",71,50.6199,26.251617,4942,1
"Sebastiano",90,23.5958633,120.2858846,5452,1
"Otho",60,61.1174188,28.5010914,7600,1
"Whitney",57,-9.4691312,119.3076098,9099,0
"Robena",99,37.6346281,-97.2383178,3027,0
"Horatio",19,22.529403,103.93935,10084,0
"Nanni",33,30.572815,104.066801,19249,0
"Xymenes",30,14.582807,121.061708,14908,1
"Madelene",21,51.2262018,6.7866433,6142,1
"Luz",75,-7.6185371,110.6013327,3163,1
"Tani",46,49.5743316,72.8993193,7263,1
"Lindon",18,-13.7134562,-76.1841701,8306,0
"Marrilee",93,30.750211,121.134569,19466,0
"Robbi",41,37.841046,140.5203882,18573,1
"Wallie",50,-8.8474131,34.834821,19764,1
"De witt",77,32.699635,35.303546,10038,0
"Adrianna",63,17.4214483,102.5642447,3590,0
"Christabel",56,-45.8405005,-67.4686475,3862,1
"Karalee",57,49.8905368,2.3081396,15431,0
"Shadow",91,38.8162965,24.5955356,4709,1
"Sayers",39,-8.3124202,123.7238308,4093,0
"Peg",23,24.094765,116.00509,9578,1
"Noby",35,43.7441795,2.511999,5023,1
"Inigo",94,67.6345569,34.1664186,6366,1
"Darius",46,49.189451,-0.804935,15429,1
"Elvyn",29,51.5047917,21.2618048,17537,0
"Dusty",60,-25.7189601,-56.4104044,19916,1
"Minnaminnie",71,38.7930999,-9.3809443,7866,0
"Maude",65,13.5730766,123.0925437,10034,0
"Harriott",35,48.8078325,24.54095,15062,0
"Des",100,28.85816,89.94036,7941,0
"Meade",46,22.302496,113.363816,8130,1
"Alfy",45,63.4251286,-20.2689171,7817,1
"Bria",31,-10.4322235,-62.4792921,9517,1
"Ashleigh",33,30.3364517,71.756132,9800,1
"Flss",43,-25.790615,28.3323137,13118,0
"Elise",86,34.041823,104.39189,10520,1
"Nerty",99,41.7195748,21.7669761,15467,1
"Brok",97,38.1536393,140.266785,13307,1
"Claudell",26,-6.4024844,106.7942405,4997,1
"Garner",45,-12.1444393,-44.9965028,19508,0
"Rosy",29,59.7388394,10.1603397,18594,0
"Marie",92,14.4450355,121.4022181,12732,0
"Biddy",22,28.650072,121.261886,13388,0
"Si",66,29.0825,48.13028,11311,0
"Cherish",67,55.76303,37.6462922,12323,1
"Logan",83,52.7085795,25.3346543,7703,0
"Gabriello",85,55.496478,12.9658307,19569,1
"Corny",58,49.3268319,44.018505,8830,0
"Shirlee",72,41.5722945,20.0523019,3917,0
"Farrell",74,-17.8519791,25.8285153,19974,0
"Neala",57,51.6166409,82.575905,16515,0
"Lewes",35,54.4429264,-6.4175653,19820,0
"Georgine",63,28.9301227,99.8001946,14510,1
"Teddie",85,39.2470722,55.5191857,4038,0
"Ofella",98,4.9946855,19.982437,6292,1
"D'arcy",29,59.2933395,18.0994673,11372,1
"Peggy",65,7.6395498,4.7588042,10144,0
"Raynell",89,35.919651,103.845271,16321,0
"Barnie",55,39.1217895,66.8856247,16149,0
"Mersey",23,13.6153077,100.7434078,7661,0
"Duffie",71,40.3206366,-8.708013,5417,1
"Lammond",59,30.760008,120.753163,5996,0
"Patten",63,-6.427987,110.9561,7347,1
"Wallie",55,-25.8700559,28.158466,9076,0
"Jermaine",31,59.5495402,16.5190048,12992,0
"Reinaldo",47,-8.6704582,115.2126293,10279,0
"Darill",78,-7.3210819,112.718192,12332,1
"Lorianna",87,8.157787,-77.6918093,14223,1
"Brinna",82,14.49393,-90.7090795,11785,0
"Windy",53,2.925082,33.3486147,7676,0
"Jaimie",29,41.3108613,-8.1338719,5094,1
"Alexandro",28,34.496651,69.079674,6925,0
"Ferrell",48,14.5725312,121.0378426,5179,0
"Mylo",76,-7.5690727,110.8312777,16868,0
"Brendon",19,9.329496,125.554433,4970,0
"Haleigh",89,41.0672146,-7.2170293,3346,1
"Duffy",24,23.297493,116.165777,14692,1
"Cordey",96,8.6800991,-82.855251,13485,1
"Reginauld",40,23.081924,113.290997,9840,0
"Mar",45,-7.5029075,107.8613334,11918,0
"Amalita",70,41.5706511,-8.3577961,9967,1
"Carina",66,22.3622017,105.3950939,15431,1
"Manolo",84,41.4419957,-8.5180793,18185,0
"Dino",63,35.067361,106.057816,16413,1
"Ileana",53,-6.8893639,113.3914263,9497,1
"Zacharia",39,53.5412083,-113.2957365,9978,1
"Lucho",87,54.0114023,55.8925281,8861,0
"Pavel",49,55.6795223,12.5752968,11997,0
"Bertrand",19,45.5257774,-73.3436918,8818,0
"Ardenia",53,8.5657243,-82.7387601,17698,1
"Schuyler",72,-34.3583236,-57.0479481,16977,1
"Lorie",76,47.2305176,-0.071593,10694,0
"Gretel",99,-27.7310843,-64.2708937,18819,0
"Estel",71,46.5736928,108.3006134,8673,0
"Angele",94,37.4132997,23.125332,11504,0
"Nedda",96,35.0475045,136.1219714,10039,0
"Stanton",39,59.9355,30.61534,13510,0
"Amandi",53,59.2914848,18.0916533,15069,1
"Herrick",58,-23.5535152,-46.9354774,5555,0
"Annelise",71,57.3132065,32.0880477,11913,1
"Remus",66,15.1614193,100.1087187,18781,1
"Winn",89,13.9293954,121.3228399,3138,1
"Fax",63,52.0402452,33.9293828,9812,1
"Niles",51,38.172697,114.572919,3941,0
"Claudell",89,-6.6998601,111.0967118,11700,1
"Yetty",65,22.454651,109.682148,15654,1
"Carlin",62,45.991471,4.718821,6842,0
"Leonard",85,50.104315,8.911141,8225,1
"Clarey",100,-5.4008202,105.2677562,9379,0
"Lurlene",68,31.1032736,114.3515079,7150,1
"Philip",25,55.527934,35.6160989,16804,0
"Dore",56,-8.5324,115.1246,17291,0
"Barnett",39,41.8784851,-87.627893,15818,0
"Maddalena",23,41.01,-85.06,18179,1
"Nevil",58,52.2424706,6.2281859,11299,1
"Zacharias",96,54.7767925,56.0399438,6098,1
"Jon",81,25.700731,107.631177,13236,0
"Dale",70,59.7591608,18.6810496,10126,0
"Babbette",77,29.645451,110.089415,17024,0
"Paulette",27,22.928305,113.207187,6807,1
"Coleen",56,15.610054,105.019512,14573,1
"Robinson",51,23.099153,113.810423,12331,1
"Cahra",56,14.0391161,-83.3949632,7253,0
"Laney",56,42.545625,1.5147392,9769,0
"Ros",61,50.969668,18.7293002,15288,0
"Mariette",40,47.6124206,39.7100993,11312,1
"Nicholas",93,-6.9262046,112.1474925,7730,0
"Erinna",36,46.051126,125.961814,8737,1
"Read",92,49.0390391,27.2251895,15862,1
"Crin",87,26.4363523,106.5589556,3522,0
"Fernandina",98,41.8157545,-8.3644939,5407,0
"Estrella",34,16.4112875,120.6026406,4039,1
"Brendon",31,9.8243487,124.4861698,6097,0
"Catie",29,-0.2488358,35.7323709,11959,1
"Rutledge",26,3.1121428,101.6935065,4963,0
"Aloysius",76,42.0166709,-8.5069713,8103,1
"Daniel",30,38.9835516,-9.0774591,18418,0
"Ross",21,44.0086458,22.9355752,17833,1
"Estelle",82,5.07028,119.89694,13369,1
"Joann",97,37.4547684,140.5368503,18365,0
"Nikkie",73,50.0201,20.1093853,6948,0
"Ursa",76,36.45361,127.43111,12242,1
"Les",89,44.780865,128.447649,18325,1
"Mei",80,-8.4485948,122.373094,5996,0
"Jean",54,49.8031512,18.790762,11974,0
"Jamie",38,-26.1633679,27.797184,6871,0
"Kat",30,51.167963,19.4883692,10194,1
"Antonio",94,51.7480675,20.3872239,18450,0
"Ward",72,30.3617348,-81.6966306,18036,0
"Adelbert",38,24.4938524,118.1335764,19279,1
"Leonore",91,42.3894673,23.7275817,7777,1
"Berti",34,55.8569131,12.9108819,6636,1
"Kala",56,47.5206407,-52.8076818,15262,0
"Wendy",20,49.793263,18.9515077,15923,0
"Gabriellia",76,38.9003669,-77.0351137,6345,0
"Timotheus",71,34.540852,109.44096,12772,0
"Waite",77,35.9705797,118.6143878,9930,0
"Harcourt",41,33.048227,120.575443,6167,0
"Diarmid",98,30.297685,111.302191,8333,0
"Aubrey",56,35.8496818,139.8969749,8456,0
"Emma",43,3.7187884,103.1357512,16601,0
"Salli",19,-15.118465,-40.0660682,9067,0
"Ingelbert",44,31.364902,108.249509,16970,0
"Nestor",44,14.9398,33.234,6366,1
"Karney",34,68.62602,-95.87836,9828,1
"Lenci",65,14.888791,-87.9383822,11539,1
"Gran",77,-7.6631652,109.6550032,5563,0
"Therine",70,-0.9342008,100.3617345,14473,0
"Rudiger",90,46.8619132,42.1175494,18866,0
"Vidovic",89,44.9869042,37.2580021,18055,0
"Elyn",68,9.7907348,-13.5147735,16543,1
"Leoine",67,-6.2836822,106.590819,18527,1
"Paloma",44,22.5786554,95.6983979,3920,0
"Kennedy",88,-2.6286135,-49.4059435,11129,0
"Arin",22,30.514352,111.402171,13891,0
"Tory",59,31.877958,34.739449,14942,0
"Dacia",26,-3.9138056,116.304279,19707,1
"Henrietta",81,18.8478608,-99.1843676,18050,1
"Rip",38,54.0925958,35.349821,18965,0
"Any",25,9.3125556,42.1226825,6328,0
"Wilfred",84,43.6051078,73.7631135,13849,0
"Molly",59,0.845865,108.8796091,16448,1
"Friederike",53,4.6690872,-74.1386906,5671,1
"Tabatha",97,25.771635,111.170552,17735,0
"Grete",82,41.0285386,72.7392711,6116,0
"Cindelyn",21,-8.1553145,111.8270486,8371,1
"Claudianus",57,43.3625303,27.1255402,6160,0
"Roderick",82,44.5590244,4.7447501,4019,0
"Anastassia",67,37.3100775,-5.9647536,8295,0
"Leigh",65,43.1283145,5.9294606,9520,1
"Keir",84,10.6559243,107.2370874,8891,1
"Jeremie",65,23.764143,115.969501,11165,1
"Hal",61,31.3085444,30.8039474,3467,0
"Janeczka",24,36.4166485,25.432447,17951,0
"Wilhelmine",49,45.7676321,15.6745822,6391,1
"Skipper",71,-8.6796987,120.3896651,10968,0
"Elly",90,67.6043051,30.4421656,11761,1
"Dud",55,28.9261863,81.647344,18633,0
"Amaleta",34,31.3115396,120.6947551,8296,0
"Gillan",48,-1.259553,104.100502,9038,1
"Alisun",39,30.181472,118.512944,4336,1
"Dennet",68,10.3793903,106.4541903,17944,0
"Eziechiele",92,-14.1187362,-72.2475708,9147,1
"Clea",21,34.7188616,33.129529,12490,1
"Anthe",72,48.923882,2.2593884,15538,1
"Ilene",78,43.0717734,46.8488828,15949,1
"Vale",100,-7.2425008,112.7524553,17471,1
"Catherine",28,34.0625448,-118.3089341,12963,1
"Isa",22,-0.6186619,-80.4273644,15747,0
"Krystalle",51,35.872664,120.04619,18561,0
"Suzanne",63,39.353118,-9.1143068,4202,0
"Darby",84,38.9048517,-94.6864991,17446,1
"Vasily",22,52.85768,14.39293,5517,0
"Ddene",96,4.566637,-75.75012,11994,0
"Kat",79,58.0250234,14.4700948,15598,0
"Rosanne",73,-6.9122585,113.8257538,15584,0
"Sioux",63,-6.8102224,107.4652476,4155,0
"Keriann",62,7.867718,124.1018629,19429,0
"Danica",75,40.765846,43.7732736,9368,1
"Lucky",45,53.0662784,19.2876039,15657,0
"Oralee",23,15.5724296,-88.0350859,13203,0
"Maribeth",68,13.8303,121.401,9009,0
"Orelie",55,36.386498,120.4393126,8563,1
"Jerrie",28,60.0071007,15.7887356,8304,0
"Costanza",91,-7.7955798,110.3694896,13477,1
"Rutger",18,48.1504081,-1.6807958,13153,0
"Andromache",71,-26.0730802,30.1069594,17457,0
"Slade",83,14.8853727,120.8986655,12244,0
"Giovanni",25,44.3244029,-79.7007211,3744,0
"Linn",91,53.6447228,10.0383761,3623,1
"Blancha",61,-13.674114,-71.6777177,6536,1
"Birk",22,38.036815,114.382611,15920,0
"Auria",64,-11.1892053,28.8888064,9733,0
"Beatrix",42,22.795672,-82.5131717,19188,1
"Kirsti",31,4.0776879,9.6508401,17715,1
"Rickey",28,28.0003221,-82.5889012,9014,0
"Erick",56,22.330081,111.851416,18479,1
"Cassie",41,-23.527748,-46.3266408,10070,1
"Meredeth",68,27.9771813,83.7677148,16555,1
"Dannye",78,-34.0349557,151.0998291,16937,0
"Juliane",37,14.5713332,120.9855937,4185,1
"Claudius",18,35.878762,14.439284,17170,0
"Gabey",37,14.8753647,-88.0729754,14325,0
"Geordie",82,41.0955895,19.6133429,3383,1
"Nerte",84,37.9478539,22.7911211,3100,1
"Welby",43,12.1392352,104.5655273,17542,0
"Leeanne",78,14.105202,-15.5415755,18907,0
"Darn",21,41.1846313,-8.598522,6970,1
"Harriot",90,14.5444432,-91.0891378,10400,1
"Hillary",61,32.6821287,35.8024545,12143,1
"Fara",52,25.400256,112.951826,6445,0
"Zahara",36,46.1327339,38.9644692,17691,1
"Laurene",90,6.0639962,7.4760047,10940,1
"Idalina",61,29.64227,102.125808,3715,1
"Gnni",98,-7.3391634,112.8045928,10591,1
"Eugene",26,29.117096,110.479191,11191,0
"Ad",41,-7.9110809,111.4253892,10596,1
